Day,Count
2019-09-07,5
2019-09-08,5
2019-09-09,14
2019-09-10,9
2019-09-11,15
2019-09-12,18
2019-09-13,12
2019-09-14,11
2019-09-15,11
2019-09-16,19
2019-09-17,17
2019-09-18,10
2019-09-19,15
2019-09-20,10
2019-09-21,4
2019-09-22,3
2019-09-23,12
2019-09-24,13
2019-09-25,7
2019-09-26,12
2019-09-27,11
2019-09-28,3
2019-09-29,3
2019-09-30,10
2019-10-01,8
2019-10-02,5
2019-10-03,10
2019-10-04,9
2019-10-05,6
2019-10-06,4
2019-10-07,8
2019-10-08,8
2019-10-09,8
2019-10-10,16
2019-10-11,13
2019-10-12,6
2019-10-13,6
2019-10-14,11
2019-10-15,8
2019-10-16,10
2019-10-17,5
2019-10-18,8
2019-10-19,3
2019-10-20,8
2019-10-21,17
2019-10-22,7
2019-10-23,8
2019-10-24,6
2019-10-25,5
2019-10-26,5
2019-10-27,4
2019-10-28,10
2019-10-29,3
2019-10-30,8
2019-10-31,6
2019-11-01,11
2019-11-02,3
2019-11-03,6
2019-11-04,18
2019-11-05,15
2019-11-06,15
2019-11-07,20
2019-11-08,7
2019-11-09,5
2019-11-10,11
2019-11-11,12
2019-11-12,15
2019-11-13,15
2019-11-14,10
2019-11-15,10
2019-11-16,9
2019-11-17,6
2019-11-18,11
2019-11-19,6
2019-11-20,10
2019-11-21,18
2019-11-22,30
2019-11-23,13
2019-11-24,5
2019-11-25,14
2019-11-26,14
2019-11-27,8
2019-11-28,10
2019-11-29,4
2019-11-30,6
2019-12-01,6
2019-12-02,10
2019-12-03,13
2019-12-04,11
2019-12-05,12
2019-12-06,14
2019-12-07,8
2019-12-08,2
2019-12-09,12
2019-12-10,21
2019-12-11,19
2019-12-12,11
2019-12-13,7
2019-12-14,5
2019-12-15,11
2019-12-16,7
2019-12-17,13
2019-12-18,19
2019-12-19,21
2019-12-20,12
2019-12-21,5
2019-12-22,12
2019-12-23,8
2019-12-24,8
2019-12-25,2
2019-12-26,3
2019-12-27,4
2019-12-28,6
2019-12-29,4
2019-12-30,11
2019-12-31,14
2020-01-01,6
2020-01-02,16
2020-01-03,12
2020-01-04,14
2020-01-05,8
2020-01-06,13
2020-01-07,12
2020-01-08,9
2020-01-09,19
2020-01-10,14
2020-01-11,11
2020-01-12,12
2020-01-13,11
2020-01-14,13
2020-01-15,16
2020-01-16,16
2020-01-17,7
2020-01-18,10
2020-01-19,12
2020-01-20,19
2020-01-21,24
2020-01-22,20
2020-01-23,19
2020-01-24,19
2020-01-25,14
2020-01-26,14
2020-01-27,18
2020-01-28,17
2020-01-29,16
2020-01-30,15
2020-01-31,10
2020-02-01,9
2020-02-02,3
2020-02-03,9
2020-02-04,16
2020-02-05,12
2020-02-06,18
2020-02-07,17
2020-02-08,11
2020-02-09,4
2020-02-10,14
2020-02-11,20
2020-02-12,9
2020-02-13,21
2020-02-14,15
2020-02-15,10
2020-02-16,10
2020-02-17,13
2020-02-18,28
2020-02-19,21
2020-02-20,20
2020-02-21,11
2020-02-22,13
2020-02-23,7
2020-02-24,16
2020-02-25,23
2020-02-26,15
2020-02-27,14
2020-02-28,12
2020-02-29,5
2020-03-01,4
2020-03-02,16
2020-03-03,6
2020-03-04,13
2020-03-05,21
2020-03-06,16
2020-03-07,11
2020-03-08,5
2020-03-09,25
2020-03-10,16
2020-03-11,15
2020-03-12,48
2020-03-13,39
2020-03-14,16
2020-03-15,46
2020-03-16,68
2020-03-17,59
2020-03-18,45
2020-03-19,34
2020-03-20,37
2020-03-21,25
2020-03-22,24
2020-03-23,33
2020-03-24,31
2020-03-25,28
2020-03-26,18
2020-03-27,26
2020-03-28,22
2020-03-29,22
2020-03-30,14
2020-03-31,20
2020-04-01,28
2020-04-02,19
2020-04-03,23
2020-04-04,17
2020-04-05,16
2020-04-06,23
2020-04-07,26
2020-04-08,17
2020-04-09,27
2020-04-10,22
2020-04-11,14
2020-04-12,13
2020-04-13,26
2020-04-14,31
2020-04-15,26
2020-04-16,39
2020-04-17,37
2020-04-18,48
2020-04-19,45
