Day,Percent
2019-09-07,21.9
2019-09-08,21.17
2019-09-09,33.1
2019-09-10,33.34
2019-09-11,31.55
2019-09-12,33.99
2019-09-13,31.02
2019-09-14,22.23
2019-09-15,21.96
2019-09-16,29.17
2019-09-17,30.69
2019-09-18,24.03
2019-09-19,25.0
2019-09-20,20.12
2019-09-21,13.82
2019-09-22,12.78
2019-09-23,24.46
2019-09-24,23.25
2019-09-25,23.66
2019-09-26,24.87
2019-09-27,19.26
2019-09-28,10.5
2019-09-29,12.71
2019-09-30,24.6
2019-10-01,27.66
2019-10-02,18.52
2019-10-03,20.64
2019-10-04,21.25
2019-10-05,11.4
2019-10-06,13.16
2019-10-07,21.65
2019-10-08,17.53
2019-10-09,23.32
2019-10-10,21.81
2019-10-11,17.28
2019-10-12,14.74
2019-10-13,16.85
2019-10-14,19.69
2019-10-15,17.19
2019-10-16,17.9
2019-10-17,22.05
2019-10-18,22.83
2019-10-19,12.23
2019-10-20,16.21
2019-10-21,25.56
2019-10-22,21.79
2019-10-23,18.75
2019-10-24,19.43
2019-10-25,25.15
2019-10-26,13.46
2019-10-27,15.79
2019-10-28,24.57
2019-10-29,20.69
2019-10-30,21.97
2019-10-31,20.61
2019-11-01,20.86
2019-11-02,15.44
2019-11-03,15.53
2019-11-04,29.7
2019-11-05,29.66
2019-11-06,28.01
2019-11-07,31.64
2019-11-08,21.92
2019-11-09,14.05
2019-11-10,19.11
2019-11-11,20.91
2019-11-12,23.3
2019-11-13,21.39
2019-11-14,23.73
2019-11-15,26.12
2019-11-16,14.53
2019-11-17,18.65
2019-11-18,26.93
2019-11-19,21.51
2019-11-20,20.86
2019-11-21,25.81
2019-11-22,30.53
2019-11-23,22.45
2019-11-24,13.34
2019-11-25,23.5
2019-11-26,25.25
2019-11-27,18.82
2019-11-28,19.1
2019-11-29,17.18
2019-11-30,14.22
2019-12-01,12.07
2019-12-02,21.9
2019-12-03,22.67
2019-12-04,19.81
2019-12-05,21.4
2019-12-06,21.0
2019-12-07,15.31
2019-12-08,14.44
2019-12-09,20.95
2019-12-10,30.81
2019-12-11,29.56
2019-12-12,20.78
2019-12-13,22.44
2019-12-14,13.94
2019-12-15,17.0
2019-12-16,23.98
2019-12-17,26.54
2019-12-18,27.18
2019-12-19,29.9
2019-12-20,24.63
2019-12-21,15.16
2019-12-22,16.84
2019-12-23,18.28
2019-12-24,14.5
2019-12-25,11.5
2019-12-26,12.25
2019-12-27,11.29
2019-12-28,10.26
2019-12-29,11.0
2019-12-30,16.67
2019-12-31,15.9
2020-01-01,14.82
2020-01-02,22.35
2020-01-03,21.88
2020-01-04,18.33
2020-01-05,14.98
2020-01-06,29.79
2020-01-07,22.11
2020-01-08,20.32
2020-01-09,23.66
2020-01-10,23.92
2020-01-11,18.04
2020-01-12,18.28
2020-01-13,20.33
2020-01-14,23.37
2020-01-15,20.0
2020-01-16,21.32
2020-01-17,22.23
2020-01-18,17.68
2020-01-19,14.61
2020-01-20,26.93
2020-01-21,27.08
2020-01-22,25.99
2020-01-23,22.73
2020-01-24,23.17
2020-01-25,23.21
2020-01-26,18.48
2020-01-27,21.51
2020-01-28,22.17
2020-01-29,29.9
2020-01-30,22.59
2020-01-31,20.64
2020-02-01,16.49
2020-02-02,14.52
2020-02-03,17.49
2020-02-04,21.09
2020-02-05,19.79
2020-02-06,21.23
2020-02-07,25.42
2020-02-08,17.98
2020-02-09,17.88
2020-02-10,21.12
2020-02-11,25.42
2020-02-12,21.79
2020-02-13,26.38
2020-02-14,22.41
2020-02-15,20.97
2020-02-16,15.96
2020-02-17,25.0
2020-02-18,35.83
2020-02-19,38.43
2020-02-20,29.86
2020-02-21,26.8
2020-02-22,19.05
2020-02-23,13.53
2020-02-24,26.22
2020-02-25,27.41
2020-02-26,25.36
2020-02-27,22.65
2020-02-28,22.49
2020-02-29,15.61
2020-03-01,15.2
2020-03-02,21.96
2020-03-03,17.74
2020-03-04,18.14
2020-03-05,26.09
2020-03-06,20.68
2020-03-07,17.4
2020-03-08,11.89
2020-03-09,28.58
2020-03-10,21.68
2020-03-11,21.74
2020-03-12,53.39
2020-03-13,53.88
2020-03-14,29.2
2020-03-15,39.3
2020-03-16,51.42
2020-03-17,45.12
2020-03-18,41.61
2020-03-19,36.44
2020-03-20,28.75
2020-03-21,22.12
2020-03-22,22.95
2020-03-23,27.91
2020-03-24,32.48
2020-03-25,26.09
2020-03-26,22.89
2020-03-27,21.79
2020-03-28,16.48
2020-03-29,16.02
2020-03-30,22.66
2020-03-31,20.51
2020-04-01,22.0
2020-04-02,20.68
2020-04-03,18.45
2020-04-04,14.64
2020-04-05,16.11
2020-04-06,20.54
2020-04-07,22.47
2020-04-08,17.89
2020-04-09,20.98
2020-04-10,18.69
2020-04-11,13.32
2020-04-12,13.13
2020-04-13,21.28
2020-04-14,26.64
2020-04-15,25.07
2020-04-16,31.16
2020-04-17,27.97
2020-04-18,30.79
2020-04-19,31.44
2020-04-20,35.8
2020-04-21,35.45
2020-04-22,30.76
2020-04-23,34.84
2020-04-24,31.25
2020-04-25,22.81
2020-04-26,20.43
2020-04-27,31.27
2020-04-28,30.43
2020-04-29,31.64
2020-04-30,28.01
2020-05-01,29.28
2020-05-02,24.47
2020-05-03,25.58
2020-05-04,28.58
2020-05-05,26.64
2020-05-06,28.43
2020-05-07,25.0
2020-05-08,22.77
2020-05-09,15.75
2020-05-10,16.3
2020-05-11,29.12
2020-05-12,27.67
2020-05-13,25.2
2020-05-14,23.51
2020-05-15,19.54
2020-05-16,15.33
2020-05-17,16.87
2020-05-18,25.92
2020-05-19,26.43
2020-05-20,22.69
2020-05-21,24.12
2020-05-22,23.5
2020-05-23,15.86
2020-05-24,17.41
2020-05-25,24.59
2020-05-26,27.16
2020-05-27,22.46
2020-05-28,26.29
2020-05-29,23.66
2020-05-30,13.86
2020-05-31,16.38
2020-06-01,25.0
2020-06-02,25.84
2020-06-03,28.77
2020-06-04,28.9
2020-06-05,26.93
2020-06-06,15.42
2020-06-07,16.75
2020-06-08,27.58
2020-06-09,25.34
2020-06-10,29.1
2020-06-11,34.01
2020-06-12,24.55
2020-06-13,19.49
2020-06-14,18.8
2020-06-15,25.58
2020-06-16,24.89
2020-06-17,25.51
2020-06-18,27.11
2020-06-19,22.86
2020-06-20,15.71
2020-06-21,16.71
2020-06-22,27.5
2020-06-23,26.7
2020-06-24,21.28
2020-06-25,22.66
2020-06-26,19.61
2020-06-27,11.93
2020-06-28,13.59
2020-06-29,28.86
