Day,Count
2019-09-07,5
2019-09-08,2
2019-09-09,28
2019-09-10,4
2019-09-11,17
2019-09-12,23
2019-09-13,13
2019-09-14,11
2019-09-15,10
2019-09-16,30
2019-09-17,19
2019-09-18,7
2019-09-19,21
2019-09-20,7
2019-09-21,1
2019-09-22,4
2019-09-23,21
2019-09-24,11
2019-09-25,3
2019-09-26,12
2019-09-27,10
2019-09-28,1
2019-09-29,2
2019-09-30,7
2019-10-01,4
2019-10-02,3
2019-10-03,6
2019-10-04,10
2019-10-05,1
2019-10-06,2
2019-10-07,4
2019-10-08,4
2019-10-09,5
2019-10-10,18
2019-10-11,13
2019-10-12,7
2019-10-13,4
2019-10-14,11
2019-10-15,7
2019-10-16,8
2019-10-17,3
2019-10-18,5
2019-10-19,3
2019-10-20,6
2019-10-21,18
2019-10-22,6
2019-10-23,4
2019-10-24,3
2019-10-25,2
2019-10-26,2
2019-10-27,3
2019-10-28,6
2019-10-30,3
2019-10-31,3
2019-11-01,7
2019-11-02,3
2019-11-03,2
2019-11-04,21
2019-11-05,13
2019-11-06,9
2019-11-07,18
2019-11-08,3
2019-11-09,1
2019-11-10,8
2019-11-11,19
2019-11-12,14
2019-11-13,15
2019-11-14,7
2019-11-15,22
2019-11-16,6
2019-11-18,4
2019-11-19,3
2019-11-20,5
2019-11-21,25
2019-11-22,44
2019-11-23,8
2019-11-24,3
2019-11-25,13
2019-11-26,13
2019-11-27,4
2019-11-28,10
2019-11-29,1
2019-11-30,4
2019-12-01,6
2019-12-02,5
2019-12-03,14
2019-12-04,8
2019-12-05,9
2019-12-06,9
2019-12-07,6
2019-12-08,2
2019-12-09,14
2019-12-10,22
2019-12-11,20
2019-12-12,29
2019-12-13,8
2019-12-15,17
2019-12-16,11
2019-12-17,12
2019-12-18,51
2019-12-19,22
2019-12-20,18
2019-12-21,18
2019-12-22,19
2019-12-23,14
2019-12-24,10
2019-12-26,8
2019-12-27,1
2019-12-28,3
2019-12-29,1
2019-12-30,7
2019-12-31,13
2020-01-01,6
2020-01-02,14
2020-01-03,14
2020-01-04,6
2020-01-05,4
2020-01-06,17
2020-01-07,16
2020-01-08,17
2020-01-09,24
2020-01-10,17
2020-01-11,20
2020-01-12,25
2020-01-13,24
2020-01-14,23
2020-01-15,34
2020-01-16,30
2020-01-17,8
2020-01-18,14
2020-01-19,7
2020-01-20,17
2020-01-21,34
2020-01-22,44
2020-01-23,24
2020-01-24,25
2020-01-25,29
2020-01-26,22
2020-01-27,54
2020-01-28,22
2020-01-29,10
2020-01-30,18
2020-01-31,5
2020-02-01,12
2020-02-02,2
2020-02-03,8
2020-02-04,39
2020-02-05,12
2020-02-06,29
2020-02-07,20
2020-02-08,14
2020-02-09,1
2020-02-10,10
2020-02-11,49
2020-02-12,8
2020-02-13,38
2020-02-14,28
2020-02-15,14
2020-02-16,7
2020-02-17,16
2020-02-18,34
2020-02-19,28
2020-02-20,22
2020-02-21,7
2020-02-22,8
2020-02-23,4
2020-02-24,19
2020-02-25,29
2020-02-26,14
2020-02-27,14
2020-02-28,22
2020-02-29,3
2020-03-01,1
2020-03-02,21
2020-03-03,12
2020-03-04,12
2020-03-05,67
2020-03-06,11
2020-03-07,15
2020-03-08,7
2020-03-09,45
2020-03-10,25
2020-03-11,18
2020-03-12,100
2020-03-13,83
2020-03-14,40
2020-03-15,127
2020-03-16,153
2020-03-17,93
2020-03-18,112
2020-03-19,81
2020-03-20,61
2020-03-21,26
2020-03-22,41
2020-03-23,41
2020-03-24,56
2020-03-25,61
2020-03-26,20
2020-03-27,38
2020-03-28,22
2020-03-29,43
2020-03-30,10
2020-03-31,25
2020-04-01,25
2020-04-02,13
2020-04-03,26
2020-04-04,21
2020-04-05,26
2020-04-06,29
2020-04-07,108
2020-04-08,84
2020-04-09,89
2020-04-10,29
2020-04-11,11
2020-04-12,24
2020-04-13,79
2020-04-14,51
2020-04-15,30
2020-04-16,58
2020-04-17,85
2020-04-18,113
2020-04-19,80
2020-04-20,140
2020-04-21,102
2020-04-22,132
2020-04-23,141
2020-04-24,58
2020-04-25,35
2020-04-26,43
2020-04-27,66
2020-04-28,85
2020-04-29,122
2020-04-30,108
2020-05-01,76
2020-05-02,114
2020-05-03,110
2020-05-04,105
2020-05-05,89
2020-05-06,52
2020-05-07,78
2020-05-08,39
2020-05-09,28
2020-05-10,36
2020-05-11,96
2020-05-12,88
2020-05-13,110
2020-05-14,106
2020-05-15,56
2020-05-16,31
2020-05-17,27
2020-05-18,70
2020-05-19,71
2020-05-20,40
2020-05-21,114
2020-05-22,92
2020-05-23,26
2020-05-24,31
