Day,Count
2019-09-07,1
2019-09-09,1
2019-09-10,4
2019-09-11,2
2019-09-14,2
2019-09-15,1
2019-09-16,1
2019-09-17,1
2019-09-18,2
2019-09-19,1
2019-09-20,1
2019-09-23,1
2019-09-26,2
2019-09-30,1
2019-10-01,1
2019-10-02,1
2019-10-03,2
2019-10-05,1
2019-10-07,1
2019-10-10,4
2019-10-11,1
2019-10-16,1
2019-10-17,1
2019-10-18,1
2019-10-21,2
2019-10-23,1
2019-10-24,1
2019-10-28,1
2019-10-30,1
2019-11-01,1
2019-11-03,4
2019-11-04,1
2019-11-05,1
2019-11-06,2
2019-11-07,1
2019-11-10,2
2019-11-11,1
2019-11-12,1
2019-11-13,2
2019-11-15,1
2019-11-18,3
2019-11-19,1
2019-11-21,3
2019-11-22,6
2019-11-23,1
2019-11-25,1
2019-11-26,1
2019-12-01,1
2019-12-02,2
2019-12-05,1
2019-12-06,1
2019-12-10,1
2019-12-15,2
2019-12-17,1
2019-12-18,1
2019-12-19,3
2019-12-21,1
2019-12-22,4
2019-12-24,2
2019-12-28,1
2019-12-30,1
2019-12-31,1
2020-01-02,2
2020-01-03,1
2020-01-04,2
2020-01-06,1
2020-01-07,2
2020-01-10,1
2020-01-11,2
2020-01-12,1
2020-01-15,1
2020-01-16,2
2020-01-19,1
2020-01-20,3
2020-01-21,2
2020-01-25,3
2020-01-26,1
2020-01-27,2
2020-01-29,1
2020-01-31,1
2020-02-07,1
2020-02-08,1
2020-02-10,1
2020-02-11,2
2020-02-14,1
2020-02-15,1
2020-02-18,3
2020-02-19,2
2020-02-20,5
2020-02-23,1
2020-02-25,4
2020-02-26,1
2020-02-27,1
2020-03-01,1
2020-03-04,1
2020-03-05,3
2020-03-12,10
2020-03-13,8
2020-03-14,2
2020-03-15,9
2020-03-16,15
2020-03-17,11
2020-03-18,4
2020-03-19,6
2020-03-20,6
2020-03-21,2
2020-03-22,1
2020-03-23,3
2020-03-24,2
2020-03-25,1
2020-03-29,1
2020-04-01,2
2020-04-02,3
2020-04-03,2
2020-04-04,1
2020-04-06,1
2020-04-07,2
2020-04-09,1
2020-04-10,1
2020-04-13,2
2020-04-14,2
2020-04-15,1
2020-04-16,4
2020-04-17,2
2020-04-18,8
2020-04-19,3
2020-04-20,5
2020-04-21,4
2020-04-22,4
2020-04-23,3
2020-04-24,3
2020-04-25,2
2020-04-26,3
2020-04-27,3
2020-04-28,3
2020-04-29,7
2020-04-30,4
2020-05-01,4
2020-05-02,6
2020-05-03,2
2020-05-04,3
2020-05-05,1
2020-05-06,3
2020-05-07,4
2020-05-10,2
2020-05-11,3
2020-05-12,6
2020-05-13,4
2020-05-14,2
2020-05-15,3
2020-05-16,3
2020-05-17,1
2020-05-18,1
2020-05-19,4
2020-05-20,1
2020-05-22,1
2020-05-24,1
2020-05-25,1
2020-05-27,4
2020-05-28,2
2020-05-29,2
2020-05-30,1
2020-05-31,1
2020-06-01,2
2020-06-02,3
2020-06-03,2
2020-06-04,2
2020-06-05,1
2020-06-06,1
2020-06-07,2
2020-06-08,1
2020-06-09,1
2020-06-10,1
2020-06-11,3
2020-06-12,1
2020-06-14,1
2020-06-15,1
2020-06-16,1
2020-06-17,2
2020-06-19,2
2020-06-20,1
2020-06-21,1
2020-06-22,1
2020-06-23,2
2020-06-25,2
2020-06-26,2
2020-06-28,2
2020-06-29,3
2020-06-30,1
2020-07-01,6
2020-07-02,2
2020-07-03,2
2020-07-04,1
2020-07-05,1
2020-07-06,5
2020-07-07,3
2020-07-09,1
2020-07-13,4
2020-07-14,3
2020-07-15,2
2020-07-16,1
2020-07-18,1
2020-07-20,4
2020-07-21,1
2020-07-23,4
2020-07-24,4
2020-07-25,3
2020-07-26,4
2020-07-27,4
2020-07-28,4
2020-07-29,2
2020-07-30,3
2020-07-31,2
2020-08-01,3
2020-08-02,2
2020-08-03,1
2020-08-04,2
2020-08-05,5
2020-08-06,2
2020-08-07,2
2020-08-09,1
2020-08-10,2
2020-08-11,3
2020-08-12,1
2020-08-13,2
2020-08-14,2
2020-08-15,1
2020-08-16,2
2020-08-17,2
2020-08-18,2
2020-08-19,3
2020-08-20,2
2020-08-21,2
2020-08-23,3
2020-08-25,1
2020-08-26,7
2020-08-27,1
2020-08-28,1
2020-08-29,2
2020-08-31,6
2020-09-01,1
2020-09-02,2
2020-09-04,1
2020-09-05,4
2020-09-06,2
