Day,Count
2019-09-07,3
2019-09-08,2
2019-09-09,4
2019-09-10,9
2019-09-11,4
2019-09-12,4
2019-09-13,5
2019-09-14,4
2019-09-15,3
2019-09-16,6
2019-09-17,7
2019-09-18,5
2019-09-19,2
2019-09-20,1
2019-09-21,3
2019-09-23,3
2019-09-24,1
2019-09-25,2
2019-09-26,3
2019-09-27,2
2019-09-28,1
2019-09-29,1
2019-09-30,3
2019-10-01,6
2019-10-02,4
2019-10-03,3
2019-10-04,5
2019-10-05,2
2019-10-06,1
2019-10-07,3
2019-10-08,1
2019-10-09,2
2019-10-10,5
2019-10-11,2
2019-10-12,3
2019-10-13,4
2019-10-14,4
2019-10-15,2
2019-10-16,2
2019-10-17,4
2019-10-18,4
2019-10-21,4
2019-10-23,2
2019-10-24,1
2019-10-25,1
2019-10-26,1
2019-10-27,1
2019-10-28,2
2019-10-29,5
2019-10-30,1
2019-10-31,1
2019-11-01,1
2019-11-03,5
2019-11-04,2
2019-11-05,5
2019-11-06,6
2019-11-07,3
2019-11-08,2
2019-11-09,2
2019-11-10,3
2019-11-11,2
2019-11-12,1
2019-11-13,4
2019-11-14,4
2019-11-15,3
2019-11-16,3
2019-11-17,1
2019-11-18,3
2019-11-19,4
2019-11-20,3
2019-11-21,3
2019-11-22,6
2019-11-23,5
2019-11-25,4
2019-11-26,4
2019-11-28,2
2019-11-29,2
2019-11-30,1
2019-12-01,2
2019-12-02,4
2019-12-03,3
2019-12-04,1
2019-12-05,3
2019-12-06,2
2019-12-07,2
2019-12-09,1
2019-12-10,6
2019-12-11,5
2019-12-12,3
2019-12-15,4
2019-12-17,2
2019-12-18,2
2019-12-19,3
2019-12-20,7
2019-12-21,1
2019-12-22,3
2019-12-23,6
2019-12-24,2
2019-12-25,2
2019-12-26,1
2019-12-27,1
2019-12-28,1
2019-12-29,1
2019-12-30,3
2019-12-31,2
2020-01-02,3
2020-01-03,3
2020-01-04,2
2020-01-06,2
2020-01-07,3
2020-01-08,3
2020-01-09,1
2020-01-10,4
2020-01-12,3
2020-01-13,2
2020-01-15,2
2020-01-16,1
2020-01-18,4
2020-01-19,1
2020-01-20,4
2020-01-21,1
2020-01-22,4
2020-01-23,1
2020-01-24,2
2020-01-25,3
2020-01-26,3
2020-01-28,1
2020-01-29,1
2020-01-30,1
2020-01-31,3
2020-02-02,1
2020-02-03,2
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,4
2020-02-08,1
2020-02-09,3
2020-02-10,2
2020-02-11,3
2020-02-12,2
2020-02-13,5
2020-02-14,1
2020-02-15,2
2020-02-16,3
2020-02-17,3
2020-02-18,10
2020-02-19,4
2020-02-20,9
2020-02-22,3
2020-02-23,1
2020-02-24,4
2020-02-25,3
2020-02-26,2
2020-02-27,2
2020-02-28,1
2020-02-29,1
2020-03-01,2
2020-03-02,1
2020-03-04,1
2020-03-05,4
2020-03-06,2
2020-03-11,2
2020-03-12,40
2020-03-13,31
2020-03-14,11
2020-03-15,15
2020-03-16,38
2020-03-17,27
2020-03-18,8
2020-03-19,13
2020-03-20,7
2020-03-21,2
2020-03-22,4
2020-03-23,8
2020-03-24,23
2020-03-25,12
2020-03-26,1
2020-03-27,2
2020-03-28,3
2020-03-30,1
2020-03-31,3
2020-04-01,3
2020-04-02,4
2020-04-03,4
2020-04-04,2
2020-04-05,1
2020-04-06,1
2020-04-07,6
2020-04-08,1
2020-04-09,1
2020-04-10,3
2020-04-12,2
2020-04-13,1
2020-04-14,5
2020-04-15,2
2020-04-16,5
2020-04-17,7
2020-04-18,24
2020-04-19,18
2020-04-20,17
2020-04-21,8
2020-04-22,5
2020-04-23,8
2020-04-24,7
2020-04-25,6
2020-04-26,4
2020-04-27,14
2020-04-28,11
2020-04-29,6
2020-04-30,7
2020-05-01,14
2020-05-02,4
2020-05-03,8
2020-05-04,5
2020-05-05,6
2020-05-06,3
2020-05-07,6
2020-05-08,2
2020-05-10,6
2020-05-11,6
2020-05-12,12
2020-05-13,5
2020-05-14,9
2020-05-15,3
2020-05-16,2
2020-05-17,2
2020-05-18,1
2020-05-19,5
2020-05-20,2
2020-05-21,1
2020-05-22,4
2020-05-23,4
2020-05-24,6
2020-05-25,6
2020-05-26,1
2020-05-27,6
2020-05-28,3
2020-05-29,7
2020-05-30,2
2020-05-31,2
2020-06-01,5
2020-06-02,3
2020-06-03,2
2020-06-04,2
2020-06-05,3
2020-06-06,3
2020-06-07,4
2020-06-08,3
2020-06-09,1
2020-06-10,7
2020-06-11,10
2020-06-12,2
2020-06-13,3
2020-06-14,5
2020-06-15,8
2020-06-16,6
2020-06-17,8
2020-06-18,4
2020-06-19,17
2020-06-20,2
2020-06-21,2
2020-06-22,1
2020-06-23,9
2020-06-25,4
2020-06-26,4
2020-06-28,3
2020-06-29,6
2020-06-30,1
2020-07-01,9
2020-07-02,5
2020-07-03,5
2020-07-04,4
2020-07-05,5
2020-07-06,14
2020-07-07,15
2020-07-08,4
2020-07-09,4
2020-07-10,11
2020-07-11,3
2020-07-12,2
2020-07-13,3
2020-07-14,7
2020-07-15,4
2020-07-16,5
2020-07-17,2
2020-07-18,2
2020-07-19,4
2020-07-20,5
2020-07-21,3
2020-07-22,1
2020-07-23,11
2020-07-24,9
2020-07-25,8
2020-07-26,7
2020-07-27,8
2020-07-28,10
2020-07-29,6
2020-07-30,9
2020-07-31,3
2020-08-01,4
2020-08-02,3
2020-08-03,3
2020-08-04,4
2020-08-05,10
2020-08-06,9
2020-08-07,3
2020-08-08,7
2020-08-09,6
2020-08-10,3
2020-08-11,5
2020-08-12,3
2020-08-13,3
2020-08-14,4
2020-08-15,2
2020-08-16,2
2020-08-17,6
2020-08-18,2
2020-08-19,1
2020-08-20,3
2020-08-21,5
2020-08-23,8
2020-08-24,3
2020-08-25,5
2020-08-26,9
2020-08-27,6
2020-08-28,8
2020-08-29,4
2020-08-30,2
2020-08-31,8
2020-09-01,2
2020-09-02,4
2020-09-03,5
2020-09-04,4
2020-09-05,8
2020-09-06,3
2020-09-07,1
