Day,Count
2019-09-09,3
2019-09-11,2
2019-09-12,3
2019-09-14,1
2019-09-17,3
2019-09-19,4
2019-09-20,1
2019-09-21,1
2019-09-22,1
2019-09-24,1
2019-09-26,3
2019-09-27,1
2019-09-30,1
2019-10-03,3
2019-10-04,1
2019-10-09,1
2019-10-10,2
2019-10-14,1
2019-10-16,2
2019-10-17,1
2019-10-18,1
2019-10-20,1
2019-10-22,1
2019-10-24,1
2019-10-25,3
2019-10-30,1
2019-10-31,2
2019-11-01,3
2019-11-04,2
2019-11-05,2
2019-11-06,3
2019-11-07,4
2019-11-10,3
2019-11-11,2
2019-11-12,1
2019-11-13,2
2019-11-14,2
2019-11-15,1
2019-11-18,3
2019-11-19,1
2019-11-20,1
2019-11-21,6
2019-11-22,7
2019-11-23,2
2019-11-26,1
2019-11-28,1
2019-12-02,1
2019-12-03,1
2019-12-04,4
2019-12-05,2
2019-12-06,1
2019-12-08,1
2019-12-09,1
2019-12-10,3
2019-12-11,2
2019-12-12,1
2019-12-15,1
2019-12-17,5
2019-12-18,2
2019-12-19,2
2019-12-20,2
2019-12-22,3
2019-12-24,2
2019-12-29,1
2019-12-31,3
2020-01-02,4
2020-01-03,1
2020-01-04,3
2020-01-05,2
2020-01-06,1
2020-01-07,3
2020-01-09,4
2020-01-10,2
2020-01-14,2
2020-01-16,4
2020-01-18,1
2020-01-20,2
2020-01-21,2
2020-01-22,1
2020-01-23,2
2020-01-27,3
2020-01-30,1
2020-01-31,1
2020-02-03,1
2020-02-04,2
2020-02-06,2
2020-02-10,3
2020-02-11,1
2020-02-12,1
2020-02-13,2
2020-02-14,1
2020-02-16,1
2020-02-17,1
2020-02-18,2
2020-02-20,3
2020-02-21,1
2020-02-23,1
2020-02-24,5
2020-02-25,1
2020-02-27,2
2020-02-28,1
2020-03-01,1
2020-03-02,1
2020-03-04,1
2020-03-05,5
2020-03-06,4
2020-03-09,3
2020-03-10,2
2020-03-12,4
2020-03-15,5
2020-03-16,4
2020-03-17,8
2020-03-18,6
2020-03-19,4
2020-03-20,1
2020-03-21,3
2020-03-22,1
2020-03-23,2
2020-03-24,2
2020-03-25,1
2020-03-26,2
2020-03-27,2
2020-03-28,3
2020-03-29,3
2020-04-01,2
2020-04-02,3
2020-04-03,4
2020-04-05,2
2020-04-06,14
2020-04-07,2
2020-04-09,4
2020-04-11,1
2020-04-13,4
2020-04-14,2
2020-04-15,8
2020-04-16,2
2020-04-17,6
2020-04-18,4
2020-04-19,2
2020-04-20,3
2020-04-21,3
2020-04-22,5
2020-04-23,4
2020-04-24,3
2020-04-25,1
2020-04-27,4
2020-04-28,4
2020-04-29,2
2020-04-30,5
2020-05-01,4
2020-05-02,5
2020-05-03,3
2020-05-04,3
2020-05-05,3
2020-05-07,3
2020-05-09,3
2020-05-10,2
2020-05-11,2
2020-05-12,5
2020-05-13,1
2020-05-14,2
2020-05-15,4
2020-05-16,2
2020-05-18,5
2020-05-19,3
2020-05-20,1
2020-05-21,6
2020-05-22,1
2020-05-23,1
2020-05-24,3
2020-05-25,3
2020-05-26,1
2020-05-27,5
2020-05-28,4
2020-05-29,7
2020-05-30,2
2020-05-31,1
2020-06-01,4
2020-06-02,5
2020-06-03,5
2020-06-04,4
2020-06-05,2
2020-06-06,1
2020-06-08,1
2020-06-09,2
2020-06-10,2
2020-06-11,5
2020-06-13,1
2020-06-14,1
2020-06-15,3
2020-06-16,2
2020-06-17,2
2020-06-18,2
2020-06-19,2
2020-06-20,2
2020-06-21,1
2020-06-22,1
2020-06-23,1
2020-06-24,2
2020-06-25,1
2020-06-26,1
2020-06-28,1
2020-06-29,5
2020-06-30,4
2020-07-01,3
2020-07-02,7
2020-07-03,5
2020-07-05,5
2020-07-06,6
2020-07-07,5
2020-07-08,9
2020-07-09,4
2020-07-10,7
2020-07-11,3
2020-07-13,3
2020-07-14,3
2020-07-15,5
2020-07-16,3
2020-07-17,2
2020-07-18,1
2020-07-19,1
2020-07-20,4
2020-07-21,4
2020-07-22,3
2020-07-23,8
2020-07-24,6
2020-07-25,3
2020-07-26,5
2020-07-27,4
2020-07-28,6
2020-07-29,10
2020-07-30,7
2020-07-31,4
2020-08-01,3
2020-08-02,1
2020-08-03,4
2020-08-04,5
2020-08-05,7
2020-08-06,3
2020-08-07,7
2020-08-08,2
2020-08-09,3
2020-08-10,4
2020-08-11,7
2020-08-13,4
2020-08-14,1
2020-08-15,2
2020-08-16,5
2020-08-17,2
2020-08-18,12
2020-08-19,5
2020-08-20,2
2020-08-21,6
2020-08-22,2
2020-08-23,3
2020-08-24,3
2020-08-25,6
2020-08-26,4
2020-08-27,3
2020-08-28,4
2020-08-29,6
2020-08-30,4
2020-08-31,4
2020-09-01,6
2020-09-02,8
2020-09-03,4
2020-09-04,5
2020-09-06,3
