Day,Count
2019-09-07,30
2019-09-08,29
2019-09-09,46
2019-09-10,49
2019-09-11,47
2019-09-12,52
2019-09-13,49
2019-09-14,36
2019-09-15,36
2019-09-16,49
2019-09-17,54
2019-09-18,43
2019-09-19,45
2019-09-20,36
2019-09-21,25
2019-09-22,23
2019-09-23,45
2019-09-24,43
2019-09-25,44
2019-09-26,47
2019-09-27,36
2019-09-28,19
2019-09-29,23
2019-09-30,45
2019-10-01,52
2019-10-02,35
2019-10-03,39
2019-10-04,41
2019-10-05,22
2019-10-06,25
2019-10-07,42
2019-10-08,34
2019-10-09,45
2019-10-10,41
2019-10-11,33
2019-10-12,28
2019-10-13,32
2019-10-14,38
2019-10-15,33
2019-10-16,34
2019-10-17,41
2019-10-18,42
2019-10-19,22
2019-10-20,29
2019-10-21,46
2019-10-22,39
2019-10-23,33
2019-10-24,34
2019-10-25,44
2019-10-26,23
2019-10-27,27
2019-10-28,42
2019-10-29,36
2019-10-30,38
2019-10-31,34
2019-11-01,34
2019-11-02,25
2019-11-03,25
2019-11-04,49
2019-11-05,51
2019-11-06,49
2019-11-07,56
2019-11-08,39
2019-11-09,25
2019-11-10,34
2019-11-11,37
2019-11-12,41
2019-11-13,37
2019-11-14,42
2019-11-15,47
2019-11-16,26
2019-11-17,33
2019-11-18,49
2019-11-19,40
2019-11-20,39
2019-11-21,48
2019-11-22,58
2019-11-23,44
2019-11-24,26
2019-11-25,47
2019-11-26,51
2019-11-27,38
2019-11-28,38
2019-11-29,34
2019-11-30,28
2019-12-01,24
2019-12-02,44
2019-12-03,46
2019-12-04,40
2019-12-05,43
2019-12-06,42
2019-12-07,30
2019-12-08,28
2019-12-09,40
2019-12-10,61
2019-12-11,60
2019-12-12,43
2019-12-13,46
2019-12-14,28
2019-12-15,34
2019-12-16,47
2019-12-17,52
2019-12-18,53
2019-12-19,58
2019-12-20,49
2019-12-21,30
2019-12-22,33
2019-12-23,36
2019-12-24,29
2019-12-25,23
2019-12-26,24
2019-12-27,22
2019-12-28,20
2019-12-29,21
2019-12-30,32
2019-12-31,31
2020-01-01,28
2020-01-02,42
2020-01-03,42
2020-01-04,35
2020-01-05,28
2020-01-06,56
2020-01-07,42
2020-01-08,39
2020-01-09,44
2020-01-10,44
2020-01-11,33
2020-01-12,34
2020-01-13,38
2020-01-14,43
2020-01-15,37
2020-01-16,39
2020-01-17,40
2020-01-18,32
2020-01-19,26
2020-01-20,49
2020-01-21,49
2020-01-22,46
2020-01-23,40
2020-01-24,41
2020-01-25,42
2020-01-26,34
2020-01-27,40
2020-01-28,41
2020-01-29,55
2020-01-30,42
2020-01-31,39
2020-02-01,31
2020-02-02,27
2020-02-03,32
2020-02-04,39
2020-02-05,36
2020-02-06,38
2020-02-07,46
2020-02-08,32
2020-02-09,32
2020-02-10,38
2020-02-11,46
2020-02-12,39
2020-02-13,48
2020-02-14,41
2020-02-15,39
2020-02-16,30
2020-02-17,47
2020-02-18,72
2020-02-19,78
2020-02-20,63
2020-02-21,56
2020-02-22,40
2020-02-23,28
2020-02-24,54
2020-02-25,57
2020-02-26,53
2020-02-27,48
2020-02-28,47
2020-02-29,32
2020-03-01,31
2020-03-02,45
2020-03-03,36
2020-03-04,37
2020-03-05,54
2020-03-06,43
2020-03-07,36
2020-03-08,24
2020-03-09,58
2020-03-10,44
2020-03-11,45
2020-03-12,134
2020-03-13,153
2020-03-14,87
2020-03-15,123
2020-03-16,182
2020-03-17,171
2020-03-18,161
2020-03-19,145
2020-03-20,115
2020-03-21,88
2020-03-22,92
2020-03-23,113
2020-03-24,139
2020-03-25,114
2020-03-26,100
2020-03-27,95
2020-03-28,72
2020-03-29,70
2020-03-30,99
2020-03-31,90
2020-04-01,97
2020-04-02,92
2020-04-03,83
2020-04-04,66
2020-04-05,72
2020-04-06,92
2020-04-07,102
2020-04-08,81
2020-04-09,95
2020-04-10,85
2020-04-11,59
2020-04-12,55
2020-04-13,87
2020-04-14,110
2020-04-15,98
2020-04-16,119
2020-04-17,106
2020-04-18,121
2020-04-19,127
2020-04-20,150
2020-04-21,151
2020-04-22,131
2020-04-23,147
2020-04-24,130
2020-04-25,96
2020-04-26,86
2020-04-27,136
2020-04-28,136
2020-04-29,143
2020-04-30,128
2020-05-01,137
2020-05-02,115
2020-05-03,122
2020-05-04,138
2020-05-05,130
2020-05-06,139
2020-05-07,123
2020-05-08,112
2020-05-09,77
2020-05-10,80
2020-05-11,145
2020-05-12,140
2020-05-13,129
2020-05-14,122
2020-05-15,101
2020-05-16,78
2020-05-17,86
2020-05-18,128
2020-05-19,130
2020-05-20,110
2020-05-21,116
2020-05-22,113
2020-05-23,75
2020-05-24,82
2020-05-25,118
2020-05-26,129
2020-05-27,106
2020-05-28,123
2020-05-29,110
2020-05-30,64
2020-05-31,74
2020-06-01,114
2020-06-02,116
2020-06-03,128
2020-06-04,128
2020-06-05,119
2020-06-06,68
2020-06-07,74
2020-06-08,123
2020-06-09,112
2020-06-10,128
2020-06-11,151
2020-06-12,107
2020-06-13,84
2020-06-14,81
2020-06-15,112
2020-06-16,110
2020-06-17,114
2020-06-18,119
2020-06-19,104
2020-06-20,71
2020-06-21,75
2020-06-22,124
2020-06-23,122
2020-06-24,97
2020-06-25,104
2020-06-26,90
2020-06-27,54
2020-06-28,61
2020-06-29,131
2020-06-30,157
2020-07-01,152
2020-07-02,141
2020-07-03,138
2020-07-04,113
2020-07-05,94
2020-07-06,156
2020-07-07,175
2020-07-08,148
2020-07-09,152
2020-07-10,157
2020-07-11,87
2020-07-12,78
2020-07-13,139
2020-07-14,151
2020-07-15,136
2020-07-16,141
2020-07-17,128
2020-07-18,88
2020-07-19,111
2020-07-20,137
2020-07-21,134
2020-07-22,147
2020-07-23,172
2020-07-24,143
2020-07-25,113
2020-07-26,110
2020-07-27,161
2020-07-28,166
2020-07-29,162
2020-07-30,172
2020-07-31,132
2020-08-01,90
2020-08-02,99
2020-08-03,151
2020-08-04,157
2020-08-05,164
2020-08-06,166
2020-08-07,148
2020-08-08,98
2020-08-09,117
2020-08-10,156
2020-08-11,158
2020-08-12,142
2020-08-13,139
2020-08-14,110
2020-08-15,74
2020-08-16,86
2020-08-17,137
2020-08-18,145
2020-08-19,127
2020-08-20,143
2020-08-21,122
2020-08-22,71
2020-08-23,114
2020-08-24,140
2020-08-25,145
2020-08-26,166
2020-08-27,163
2020-08-28,128
2020-08-29,90
2020-08-30,100
2020-08-31,160
2020-09-01,145
2020-09-02,135
2020-09-03,152
2020-09-04,135
2020-09-05,93
2020-09-06,92
2020-09-07,62
